,Open,High,Low,Close,Volume
2000-01-04,8688.0,8939.0,8650.0,8843.0,2800
2000-01-05,8718.0,8870.0,8671.0,8810.0,2854
2000-01-06,8840.0,9005.0,8820.0,8850.0,2501
2000-01-07,8781.0,8870.0,8711.0,8829.0,2409
2000-01-10,8949.0,9200.0,8880.0,9200.0,2638
2000-01-11,9340.0,9340.0,8930.0,8951.0,3367
2000-01-12,8951.0,9190.0,8951.0,9190.0,2028
2000-01-13,9190.0,9195.0,9066.0,9115.0,1796
2000-01-14,9161.0,9190.0,8976.0,9073.0,2198
2000-01-17,9230.0,9390.0,9201.0,9300.0,1264
2000-01-18,9290.0,9298.0,9206.0,9278.0,607
2000-01-19,9240.0,9299.0,9176.0,9185.0,993
2000-01-20,9217.0,9269.0,9173.0,9269.0,2124
2000-01-21,9250.0,9399.0,9245.0,9350.0,2278
2000-01-24,9409.0,9498.0,9370.0,9498.0,2128
2000-01-25,9431.0,9452.0,9370.0,9452.0,1735
2000-01-26,9520.0,9760.0,9520.0,9722.0,2952
2000-01-27,9750.0,9810.0,9690.0,9730.0,2234
2000-01-28,9660.0,9800.0,9657.0,9800.0,1935
2000-01-31,9736.0,9870.0,9710.0,9867.0,1525
2000-02-01,9949.0,10030.0,9930.0,10030.0,2075
2000-02-09,10173.0,10199.0,10081.0,10149.0,1838
2000-02-10,10140.0,10195.0,10099.0,10145.0,1336
2000-02-11,10185.0,10287.0,10160.0,10167.0,1463
2000-02-14,10100.0,10158.0,9962.0,9980.0,1107
2000-02-15,9901.0,10005.0,9881.0,9988.0,979
2000-02-16,9999.0,10090.0,9999.0,10090.0,636
2000-02-17,10140.0,10328.0,10122.0,10293.0,2132
2000-02-18,10373.0,10438.0,10131.0,10160.0,2899
2000-02-21,10219.0,10270.0,10000.0,10020.0,2472
2000-02-22,9961.0,10020.0,9771.0,9875.0,4247
2000-02-23,9820.0,9890.0,9701.0,9701.0,2429
2000-02-24,9780.0,9845.0,9670.0,9740.0,2448
2000-02-25,9750.0,9753.0,9550.0,9602.0,2380
2000-02-29,9652.0,9720.0,9580.0,9630.0,1910
2000-03-01,9701.0,9845.0,9701.0,9845.0,2459
2000-03-02,9839.0,9845.0,9665.0,9693.0,2159
2000-03-03,9700.0,9765.0,9671.0,9760.0,1589
2000-03-06,9630.0,9645.0,9522.0,9525.0,1956
2000-03-07,9480.0,9585.0,9426.0,9565.0,2067
2000-03-08,9530.0,9625.0,9500.0,9520.0,1853
2000-03-09,9575.0,9694.0,9575.0,9687.0,1936
2000-03-10,9710.0,9740.0,9515.0,9520.0,1837
2000-03-13,9430.0,9430.0,8854.0,8854.0,1938
2000-03-14,8550.0,8891.0,8529.0,8848.0,1870
2000-03-15,8735.0,8898.0,8590.0,8590.0,1152
2000-03-16,8650.0,8730.0,8380.0,8664.0,3350
2000-03-17,8701.0,8726.0,8552.0,8564.0,3625
2000-03-20,8265.0,8265.0,8265.0,8265.0,274
2000-03-21,8259.0,8843.0,8259.0,8843.0,2840
2000-03-22,8999.0,9198.0,8840.0,9075.0,4516
2000-03-23,9208.0,9694.0,9186.0,9636.0,4070
2000-03-24,9610.0,9610.0,9420.0,9545.0,3047
2000-03-27,9520.0,9897.0,9520.0,9835.0,2883
2000-03-28,9801.0,9945.0,9751.0,9866.0,2887
2000-03-29,9780.0,9910.0,9760.0,9848.0,1948
2000-03-30,9830.0,10130.0,9810.0,9983.0,2724
2000-03-31,9880.0,9983.0,9836.0,9915.0,2047
2000-04-05,10209.0,10390.0,10050.0,10352.0,2820
2000-04-06,10380.0,10387.0,9966.0,10010.0,3023
2000-04-07,10070.0,10130.0,9950.0,10079.0,2387
2000-04-10,10030.0,10270.0,9930.0,10262.0,2374
2000-04-11,10201.0,10260.0,10122.0,10181.0,1692
2000-04-12,10130.0,10175.0,9942.0,9950.0,2169
2000-04-13,9750.0,9798.0,9552.0,9720.0,2516
2000-04-14,9535.0,9690.0,9311.0,9318.0,1467
2000-04-17,8710.0,9003.0,8701.0,9003.0,1287
2000-04-18,9250.0,9410.0,9172.0,9302.0,612
2000-04-19,9499.0,9499.0,9090.0,9090.0,502
2000-04-20,9052.0,9209.0,8852.0,9209.0,4011
2000-04-21,9175.0,9275.0,9060.0,9132.0,3008
2000-04-24,9129.0,9129.0,8816.0,8816.0,2759
2000-04-25,8784.0,9030.0,8727.0,9000.0,4218
2000-04-26,9050.0,9050.0,8468.0,8480.0,4792
2000-04-27,8578.0,8698.0,8510.0,8629.0,3742
2000-04-28,8650.0,8920.0,8550.0,8850.0,4001
2000-05-02,8890.0,8905.0,8661.0,8684.0,2907
2000-05-03,8612.0,8612.0,8456.0,8518.0,3082
2000-05-04,8590.0,8730.0,8382.0,8509.0,4394
2000-05-05,8430.0,8815.0,8400.0,8800.0,4091
2000-05-08,8735.0,8780.0,8603.0,8710.0,3044
2000-05-09,8697.0,8764.0,8619.0,8758.0,2838
2000-05-10,8770.0,8819.0,8601.0,8601.0,4565
2000-05-11,8450.0,8490.0,8370.0,8447.0,3849
2000-05-12,8530.0,8652.0,8510.0,8600.0,3028
2000-05-15,8605.0,8630.0,8500.0,8520.0,1884
2000-05-16,8562.0,8775.0,8545.0,8775.0,1703
2000-05-17,8850.0,9090.0,8850.0,9090.0,1477
2000-05-18,9030.0,9130.0,8999.0,9105.0,3903
2000-05-19,9050.0,9240.0,9035.0,9235.0,3472
2000-05-22,8890.0,8955.0,8815.0,8828.0,3876
2000-05-23,8886.0,8886.0,8666.0,8748.0,4128
2000-05-24,8550.0,8620.0,8533.0,8577.0,3393
2000-05-25,8700.0,8720.0,8530.0,8565.0,4097
